Date:2024-06-30
No,Productname,categories,Initialinventory,week #1,week #2,week #3,week #4,Total_sales,current_inventory,Restock_inventory
37,Staples,Fasteners,150,135,8,6,0,149,1,149
38,Staple Removers,Fasteners,150,116,10,11,6,143,7,143
39,Rubber Bands,Fasteners,150,135,9,6,0,150,0,150
40,Thumb Tacks,Fasteners,150,72,38,29,7,146,4,146
41,Push Pins,Fasteners,150,28,11,24,66,129,21,129
42,Drawing Pins,Fasteners,150,52,48,49,1,150,0,150
43,Glue Sticks,Adhesives,200,11,60,41,6,118,82,118
44,Liquid Glue,Adhesives,200,43,23,24,46,136,64,136
45,Double-sided Tape,Adhesives,200,90,15,44,1,150,50,150
46,Masking Tape,Adhesives,200,158,19,10,11,198,2,198
47,Transparent Tape,Adhesives,200,141,36,20,0,197,3,197
48,Packing Tape,Adhesives,200,62,66,7,61,196,4,196
49,Scissors,Cutting Tools,60,23,7,3,22,55,5,55
50,Craft Knives,Cutting Tools,60,6,26,22,2,56,4,56
51,Cutting Mats,Cutting Tools,60,41,1,4,8,54,6,54
52,Paper Cutters,Cutting Tools,60,1,59,0,0,60,0,60
53,Sticky Tack,Adhesives,75,71,3,1,0,75,0,75
54,Hole Punchers,Office Supplies,50,7,16,4,5,32,18,32
55,Paper Trimmers,Cutting Tools,40,38,2,0,0,40,0,40
56,Desk Organizers,Desk Accessories,60,7,5,6,32,50,10,50
57,Pencil Holders,Desk Accessories,60,6,10,9,11,36,24,36
58,Tape Dispensers,Desk Accessories,60,35,13,10,2,60,0,60
59,Letter Openers,Desk Accessories,60,11,42,2,2,57,3,57
60,Desk Calendars,Desk Accessories,60,32,0,18,9,59,1,59
61,Whiteboards,Boards & Easels,15,4,6,4,1,15,0,15
62,Whiteboard Erasers,Boards & Easels,15,6,4,2,0,12,3,12
63,Cork Boards,Boards & Easels,15,13,2,0,0,15,0,15
64,Bulletin Boards,Boards & Easels,15,10,1,3,0,14,1,14
65,Flip Charts,Boards & Easels,15,11,3,1,0,15,0,15
66,Desk Lamps,Desk Accessories,7,5,2,0,0,7,0,7
67,File Boxes,Filing Supplies,12,8,2,2,0,12,0,12
68,Document Holders,Filing Supplies,12,8,2,2,0,12,0,12
69,Pen Refills,Writing Instruments,150,142,5,3,0,150,0,150
70,Planner Notebooks,Paper Products,60,11,23,23,2,59,1,59
71,Address Books,Paper Products,60,14,31,11,3,59,1,59
72,Stamps,Office Supplies,75,24,39,8,1,72,3,72
73,Ink Pads,Office Supplies,75,50,7,8,4,69,6,69
74,Envelop Sealers,Office Supplies,75,65,1,5,4,75,0,75
75,Label Makers,Office Supplies,75,48,6,4,3,61,14,61
76,Labels,Office Supplies,75,74,0,1,0,75,0,75
77,Rubber Stamps,Office Supplies,75,16,32,23,1,72,3,72
78,Paper Weights,Desk Accessories,25,6,8,11,0,25,0,25
79,Desk Trays,Desk Accessories,25,7,7,9,1,24,1,24
80,Clipboards,Office Supplies,55,6,46,3,0,55,0,55
81,Business Card Holders,Office Supplies,55,5,43,0,6,54,1,54
82,Badge Holders,Office Supplies,55,52,0,0,0,52,3,52
83,ID Card Holders,Office Supplies,55,0,3,52,0,55,0,55
84,Laminating Pouches,Office Supplies,55,10,40,0,3,53,2,53
85,Laminators,Office Supplies,55,47,6,0,2,55,0,55
86,Shredders,Office Supplies,55,49,5,0,0,54,1,54
87,Label Tapes,Office Supplies,55,27,25,0,2,54,1,54
88,Postage Scales,Office Supplies,55,34,21,0,0,55,0,55
89,Mouse Pads,Desk Accessories,30,3,27,0,0,30,0,30
90,Desk Pads,Desk Accessories,30,14,10,3,3,30,0,30
91,Computer Cleaning Kits,Cleaning Supplies,30,9,19,2,0,30,0,30
92,Screen Wipes,Cleaning Supplies,30,14,12,0,3,29,1,29
93,Keyboard Cleaners,Cleaning Supplies,30,20,6,3,0,29,1,29
94,Printer Paper,Paper Products,500,481,19,0,0,500,0,500
95,Photo Paper,Paper Products,500,43,419,5,7,474,26,474
96,Fax Paper Rolls,Paper Products,500,116,242,94,28,480,20,480
97,Business Envelopes,Paper Products,500,397,74,29,0,500,0,500
98,A4 Paper,Paper Products,500,213,223,17,30,483,17,483
99,Legal Pads,Paper Products,500,105,98,290,7,500,0,500
100,Report Covers,Paper Products,500,65,46,294,16,421,79,421
